rep,n,runtime
35,80,1555.4230983257294
35,101,2822.558607339859
35,128,4938.661728620529
36,2,5.070401430130005
36,3,7.2952165603637695
36,4,11.451452255249023
36,5,11.453762769699097
36,6,18.465831756591797
36,8,28.5192551612854
36,10,41.469624757766724
36,12,60.24866008758544
36,16,92.68297791481018
36,20,130.51706171035767
36,25,174.88148379325867
36,32,312.2879469394684
36,40,460.21849608421326
36,50,661.5772235393524
36,64,1071.2886726856232
36,80,1564.817961215973
36,101,2740.173717737198
36,128,4870.321260929108
37,2,4.357420206069946
37,3,7.1200408935546875
37,4,12.472030878067017
37,5,11.889650106430054
37,6,16.593510389328003
37,8,21.17553186416626
37,10,33.87952637672424
37,12,40.94834589958191
37,16,93.02209115028381
37,20,118.46653580665588
37,25,174.8445258140564
37,32,307.3411376476288
37,40,445.59925723075867
37,50,632.4021756649017
37,64,1050.400960445404
37,80,1647.540721654892
37,101,2774.9165601730347
37,128,4939.139446258545
38,2,4.360835313796997
38,3,7.007666349411011
38,4,9.341567277908325
38,5,13.487348794937134
38,6,20.439175844192505
38,8,24.92546820640564
38,10,46.42716336250305
38,12,58.09143948554993
38,16,73.27695035934448
38,20,134.78279495239258
38,25,203.96692323684692
38,32,290.21188402175903
38,40,427.92641520500183
38,50,633.303759098053
38,64,1072.7283127307892
38,80,1598.7311670780182
38,101,2872.3817207813263
38,128,5112.830420970917
39,2,4.12318229675293
39,3,5.462517023086548
39,4,10.216562986373901
39,5,14.30271315574646
39,6,20.80325937271118
39,8,24.76748561859131
39,10,39.635613679885864
39,12,40.69668459892273
39,16,65.74458122253418
39,20,109.89292097091675
39,25,184.50556349754333
39,32,290.6824645996094
39,40,436.32106733322144
39,50,615.0227248668671
39,64,1062.46435546875
39,80,1653.7919018268585
39,101,2737.413283109665
39,128,4819.538242340088
40,2,4.787904739379883
40,3,6.28614354133606
40,4,9.832951068878174
40,5,18.032628059387207
40,6,22.391958713531494
40,8,27.566669464111328
40,10,40.353596925735474
40,12,42.58974623680115
40,16,61.17624115943909
40,20,140.08823561668396
40,25,204.63055753707886
40,32,240.9706130027771
40,40,409.6443226337433
40,50,655.4254412651062
40,64,1099.246183872223
40,80,1586.98872756958
40,101,2841.966272354126
40,128,5227.914412736893
41,2,5.075398206710815
41,3,7.445305824279785
41,4,9.487386465072632
41,5,11.73287296295166
41,6,14.868710279464722
41,8,23.504427194595337
41,10,42.258416414260864
41,12,50.58116674423218
41,16,104.22015690803528
41,20,137.59756016731262
41,25,201.46534156799316
41,32,299.6916265487671
41,40,445.0605068206787
41,50,666.2398958206177
41,64,1088.2478575706482
41,80,1660.6460173130035
41,101,2755.6446163654327
41,128,5021.06897521019
42,2,4.970109701156616
42,3,8.082340478897095
42,4,10.124722957611084
42,5,12.252071142196655
42,6,18.05236792564392
42,8,22.417803049087524
42,10,43.39501428604126
42,12,37.57812142372131
42,16,67.63825416564941
42,20,123.36597180366515
42,25,179.24281072616577
42,32,286.4481508731842
42,40,435.7949182987213
42,50,612.405472278595
42,64,1083.4053440093994
42,80,1584.473675251007
42,101,2774.402934074402
42,128,4946.910717964172
43,2,4.75736927986145
43,3,9.51176643371582
43,4,9.197684526443481
43,5,12.292788743972778
43,6,17.76652717590332
43,8,23.429523706436157
43,10,35.067644119262695
43,12,55.08089470863342
43,16,82.49419045448303
43,20,129.5396921634674
43,25,161.49107718467712
43,32,326.421843290329
43,40,452.3977048397064
43,50,625.9745953083038
43,64,1088.8563449382782
43,80,1701.6972472667694
43,101,2757.541760444641
43,128,4814.820540428162
44,2,3.2184643745422363
44,3,9.43547511100769
44,4,10.962890625
44,5,12.642789840698242
44,6,18.644139528274536
44,8,33.27534770965576
44,10,32.22701859474182
44,12,43.16227459907532
44,16,88.4402129650116
44,20,116.86619472503662
44,25,225.11862111091614
44,32,274.2604503631592
44,40,472.4160809516907
44,50,722.188538312912
44,64,1049.7738056182861
44,80,1622.2290813922882
44,101,2821.9371180534363
44,128,4792.827038764954
45,2,5.302987098693848
45,3,5.558574676513672
45,4,9.220540523529053
45,5,14.878024339675903
45,6,17.160396337509155
45,8,29.53424572944641
45,10,36.86877679824829
45,12,43.271050214767456
45,16,81.79422688484192
45,20,134.70195508003235
45,25,201.85783219337463
45,32,311.72645354270935
45,40,448.2207245826721
45,50,665.974002122879
45,64,1078.2109401226044
45,80,1646.2655138969421
45,101,2808.309881210327
45,128,5002.6236662864685
46,2,3.5306544303894043
46,3,5.800216197967529
46,4,10.063577651977539
46,5,19.274142503738403
46,6,15.736815690994263
46,8,24.932432889938354
46,10,40.617918491363525
46,12,47.22165846824646
46,16,97.4086217880249
46,20,131.77239322662354
46,25,186.13098645210266
46,32,317.3564941883087
46,40,433.89013957977295
46,50,653.025203704834
46,64,1083.321713924408
46,80,1667.307064294815
46,101,2817.7326657772064
46,128,5005.595381259918
