rep,n,runtime
12,50,581.3446459770203
12,64,984.7071397304535
12,80,1413.6031386852264
12,101,2322.6491508483887
12,128,3098.4930856227875
13,2,3.3236021995544434
13,3,4.831962823867798
13,4,6.773855447769165
13,5,10.495140075683594
13,6,12.216649532318115
13,8,21.736756086349487
13,10,28.60895037651062
13,12,32.3296217918396
13,16,92.850426197052
13,20,151.71340465545654
13,25,225.91312193870544
13,32,383.388108253479
13,40,558.4634075164795
13,50,823.2255537509918
13,64,1222.3775198459625
13,80,1660.6630053520203
13,101,2296.797683238983
13,128,3818.886752605438
14,2,3.915199041366577
14,3,6.805788516998291
14,4,8.686497449874878
14,5,11.811836004257202
14,6,16.683204174041748
14,8,25.41216492652893
14,10,27.233258962631226
14,12,41.89062762260437
14,16,68.63421726226807
14,20,121.38643407821657
14,25,187.42036771774292
14,32,274.5345416069031
14,40,441.168142080307
14,50,669.1043524742126
14,64,982.8666400909424
14,80,1449.1157422065735
14,101,2200.8093860149384
14,128,3603.5231008529663
15,2,2.894304037094116
15,3,7.657481908798218
15,4,9.072795867919922
15,5,17.891316652297974
15,6,13.573395490646362
15,8,26.968230724334717
15,10,35.398531675338745
15,12,42.36809158325195
15,16,52.818472146987915
15,20,85.37218880653381
15,25,121.71013450622559
15,32,202.47880244255066
15,40,291.4433867931366
15,50,433.9076747894287
15,64,699.0061283111572
15,80,963.6098668575287
15,101,1623.339793920517
15,128,4690.8340280056
16,2,2.919856548309326
16,3,6.668720722198486
16,4,9.652444839477539
16,5,17.01102042198181
16,6,17.23119020462036
16,8,35.346986293792725
16,10,37.118093490600586
16,12,62.29394745826721
16,16,65.93188977241516
16,20,94.39170169830322
16,25,196.60175156593323
16,32,296.8799285888672
16,40,426.6962172985077
16,50,602.9778463840485
16,64,840.6586534976959
16,80,1337.6794276237488
16,101,2112.914126634598
16,128,4031.123001813889
17,2,4.279566764831543
17,3,8.498928546905518
17,4,10.419322967529297
17,5,14.219603300094604
17,6,19.278717041015625
17,8,22.01235055923462
17,10,41.7948899269104
17,12,54.405449867248535
17,16,77.58397507667542
17,20,128.54443526268005
17,25,167.49428486824036
17,32,292.33892130851746
17,40,410.974933385849
17,50,593.2690894603729
17,64,863.4127714633942
17,80,1347.5047965049744
17,101,2137.7787148952484
17,128,2853.681504011154
18,2,3.0063235759735107
18,3,5.234080076217651
18,4,6.744321584701538
18,5,9.574836492538452
18,6,11.55445909500122
18,8,24.331840753555298
18,10,21.37220335006714
18,12,33.82003927230835
18,16,71.81302070617676
18,20,148.10192155838013
18,25,256.4736280441284
18,32,445.2265660762787
18,40,564.2485730648041
18,50,778.7612192630768
18,64,1217.3377811908722
18,80,1647.994329214096
18,101,2258.3857414722443
18,128,3582.8825528621674
19,2,2.9917705059051514
19,3,5.931437015533447
19,4,9.177389860153198
19,5,11.531451225280762
19,6,20.733951330184937
19,8,25.74755883216858
19,10,42.33306312561035
19,12,56.53440070152283
19,16,73.13614749908447
19,20,105.96741366386414
19,25,161.58054876327515
19,32,294.01351857185364
19,40,436.80202984809875
19,50,683.8087332248688
19,64,959.2080323696136
19,80,1510.555093050003
19,101,2328.546174764633
19,128,3813.503063440323
20,2,4.6292572021484375
20,3,5.341570854187012
20,4,6.970343112945557
20,5,10.41507339477539
20,6,17.83336043357849
20,8,18.733595371246338
20,10,24.011696577072144
20,12,32.63142943382263
20,16,53.75261855125427
20,20,75.73330974578857
20,25,127.92999148368837
20,32,201.41940665245056
20,40,290.3821060657501
20,50,426.16977739334106
20,64,709.5603959560394
20,80,955.4494066238403
20,101,1559.3764803409576
20,128,4763.818475961685
21,2,3.722419023513794
21,3,9.025372743606567
21,4,11.809704780578613
21,5,14.16110897064209
21,6,17.04171323776245
21,8,25.91837430000305
21,10,36.736111879348755
21,12,42.19840717315674
21,16,69.27838349342346
21,20,90.40542697906494
21,25,194.16224694252014
